Series ID,Year,Period,Label,Month,Value,1-Month Net Change,3-Month Net Change,6-Month Net Change,12-Month Net Change
LNS14000000,2009,M01,2009 Jan,1,7.8,0.5,1.3,2,2.8
LNS14000000,2009,M02,2009 Feb,2,8.3,0.5,1.5,2.2,3.4
LNS14000000,2009,M03,2009 Mar,3,8.7,0.4,1.4,2.6,3.6
LNS14000000,2009,M04,2009 Apr,4,9,0.3,1.2,2.5,4
LNS14000000,2009,M05,2009 May,5,9.4,0.4,1.1,2.6,4
LNS14000000,2009,M06,2009 Jun,6,9.5,0.1,0.8,2.2,3.9
LNS14000000,2009,M07,2009 Jul,7,9.5,0,0.5,1.7,3.7
LNS14000000,2009,M08,2009 Aug,8,9.6,0.1,0.2,1.3,3.5
LNS14000000,2009,M09,2009 Sep,9,9.8,0.2,0.3,1.1,3.7
LNS14000000,2009,M10,2009 Oct,10,10,0.2,0.5,1,3.5
LNS14000000,2009,M11,2009 Nov,11,9.9,-0.1,0.3,0.5,3.1
LNS14000000,2009,M12,2009 Dec,12,9.9,0,0.1,0.4,2.6
LNS14000000,2010,M01,2010 Jan,1,9.8,-0.1,-0.2,0.3,2
LNS14000000,2010,M02,2010 Feb,2,9.8,0,-0.1,0.2,1.5
LNS14000000,2010,M03,2010 Mar,3,9.9,0.1,0,0.1,1.2
LNS14000000,2010,M04,2010 Apr,4,9.9,0,0.1,-0.1,0.9
LNS14000000,2010,M05,2010 May,5,9.6,-0.3,-0.2,-0.3,0.2
LNS14000000,2010,M06,2010 Jun,6,9.4,-0.2,-0.5,-0.5,-0.1
LNS14000000,2010,M07,2010 Jul,7,9.4,0,-0.5,-0.4,-0.1
LNS14000000,2010,M08,2010 Aug,8,9.5,0.1,-0.1,-0.3,-0.1
LNS14000000,2010,M09,2010 Sep,9,9.5,0,0.1,-0.4,-0.3
LNS14000000,2010,M10,2010 Oct,10,9.4,-0.1,0,-0.5,-0.6
LNS14000000,2010,M11,2010 Nov,11,9.8,0.4,0.3,0.2,-0.1
LNS14000000,2010,M12,2010 Dec,12,9.3,-0.5,-0.2,-0.1,-0.6
LNS14000000,2011,M01,2011 Jan,1,9.1,-0.2,-0.3,-0.3,-0.7
LNS14000000,2011,M02,2011 Feb,2,9,-0.1,-0.8,-0.5,-0.8
LNS14000000,2011,M03,2011 Mar,3,9,0,-0.3,-0.5,-0.9
