Year,Race,Household_Income_by_Race1,Household_Income_by_Race2,Household_Income_by_RaceMoe,Geography,Census_Tract_No,County,State,ID_Geography,Geoid10
2017,Total,67391," $67,391 "," $8,281 ","Census Tract 1708, Cook County, IL",1708,Cook County,IL,14000US17031170800,17031170800
2017,Total,34643," $34,643 "," $11,755 ","Census Tract 8408.01, DuPage County, IL",8408.01,DuPage County,IL,14000US17043840801,17043840801
2017,Total,80625," $80,625 "," $23,252 ","Census Tract 7005.02, Cook County, IL",7005.02,Cook County,IL,14000US17031700502,17031700502
2017,Total,40841," $40,841 "," $7,069 ","Census Tract 102.01, Cook County, IL",102.01,Cook County,IL,14000US17031010201,17031010201
2017,Total,36563," $36,563 "," $8,731 ","Census Tract 102.02, Cook County, IL",102.02,Cook County,IL,14000US17031010202,17031010202
2017,Total,66619," $66,619 "," $9,171 ","Census Tract 7005.01, Cook County, IL",7005.01,Cook County,IL,14000US17031700501,17031700501
2017,Total,36870," $36,870 "," $3,386 ","Census Tract 103, Cook County, IL",103,Cook County,IL,14000US17031010300,17031010300
2017,Total,75764," $75,764 "," $15,283 ","Census Tract 8400, DuPage County, IL",8400,DuPage County,IL,14000US17043840000,17043840000
2017,Total,39634," $39,634 "," $8,452 ","Census Tract 104, Cook County, IL",104,Cook County,IL,14000US17031010400,17031010400
2017,Total,15524," $15,524 "," $4,409 ","Census Tract 7101, Cook County, IL",7101,Cook County,IL,14000US17031710100,17031710100
2017,Total,31985," $31,985 "," $10,336 ","Census Tract 105.01, Cook County, IL",105.01,Cook County,IL,14000US17031010501,17031010501
2017,Total,61369," $61,369 "," $12,661 ","Census Tract 7004.02, Cook County, IL",7004.02,Cook County,IL,14000US17031700402,17031700402
2017,Total,33721," $33,721 "," $2,977 ","Census Tract 105.02, Cook County, IL",105.02,Cook County,IL,14000US17031010502,17031010502
2017,Total,64776," $64,776 "," $11,287 ","Census Tract 7004.01, Cook County, IL",7004.01,Cook County,IL,14000US17031700401,17031700401
2017,Total,19671," $19,671 "," $7,134 ","Census Tract 105.03, Cook County, IL",105.03,Cook County,IL,14000US17031010503,17031010503
2017,Total,32750," $32,750 "," $9,224 ","Census Tract 8439, Cook County, IL",8439,Cook County,IL,14000US17031843900,17031843900
2017,Total,40576," $40,576 "," $8,381 ","Census Tract 106, Cook County, IL",106,Cook County,IL,14000US17031010600,17031010600
2017,Total,67776," $67,776 "," $14,326 ","Census Tract 7003.02, Cook County, IL",7003.02,Cook County,IL,14000US17031700302,17031700302
2017,Total,60798," $60,798 "," $12,257 ","Census Tract 107.01, Cook County, IL",107.01,Cook County,IL,14000US17031010701,17031010701
2017,Total,39604," $39,604 "," $3,652 ","Census Tract 107.02, Cook County, IL",107.02,Cook County,IL,14000US17031010702,17031010702
2017,Total,64118," $64,118 "," $9,426 ","Census Tract 7003.01, Cook County, IL",7003.01,Cook County,IL,14000US17031700301,17031700301
2017,Total,49318," $49,318 "," $5,281 ","Census Tract 201, Cook County, IL",201,Cook County,IL,14000US17031020100,17031020100
2017,Total,45833," $45,833 "," $6,886 ","Census Tract 8438, Cook County, IL",8438,Cook County,IL,14000US17031843800,17031843800
2017,Total,87835," $87,835 "," $24,458 ","Census Tract 202, Cook County, IL",202,Cook County,IL,14000US17031020200,17031020200
2017,Total,26934," $26,934 "," $3,095 ","Census Tract 7102, Cook County, IL",7102,Cook County,IL,14000US17031710200,17031710200
2017,Total,53254," $53,254 "," $9,927 ","Census Tract 203.01, Cook County, IL",203.01,Cook County,IL,14000US17031020301,17031020301
2017,Total,56779," $56,779 "," $16,003 ","Census Tract 7002, Cook County, IL",7002,Cook County,IL,14000US17031700200,17031700200
2017,Total,69861," $69,861 "," $5,601 ","Census Tract 203.02, Cook County, IL",203.02,Cook County,IL,14000US17031020302,17031020302
2017,Total,61925," $61,925 "," $12,925 ","Census Tract 7001, Cook County, IL",7001,Cook County,IL,14000US17031700100,17031700100
2017,Total,59705," $59,705 "," $9,082 ","Census Tract 204, Cook County, IL",204,Cook County,IL,14000US17031020400,17031020400
2017,Total,105408," $105,408 "," $8,876 ","Census Tract 8437, Cook County, IL",8437,Cook County,IL,14000US17031843700,17031843700
2017,Total,40090," $40,090 "," $3,769 ","Census Tract 205, Cook County, IL",205,Cook County,IL,14000US17031020500,17031020500
2017,Total,20027," $20,027 "," $3,852 ","Census Tract 6915, Cook County, IL",6915,Cook County,IL,14000US17031691500,17031691500
2017,Total,39282," $39,282 "," $7,423 ","Census Tract 206.01, Cook County, IL",206.01,Cook County,IL,14000US17031020601,17031020601
2017,Total,50048," $50,048 "," $5,194 ","Census Tract 206.02, Cook County, IL",206.02,Cook County,IL,14000US17031020602,17031020602
2017,Total,28813," $28,813 "," $6,471 ","Census Tract 6914, Cook County, IL",6914,Cook County,IL,14000US17031691400,17031691400
