,Longitude,Latitude,Crime_type,Year
0,-87.635930129,41.758053849,HOMICIDE,2018
1,-87.765094943,41.775264034,HOMICIDE,2018
2,-87.731876755,41.886926776,HOMICIDE,2018
3,-87.67382751,42.012649769,HOMICIDE,2018
4,-87.698341345,41.821811574,HOMICIDE,2018
5,-87.65886542,41.965996614,HOMICIDE,2018
6,-87.560898667,41.709060038,HOMICIDE,2018
7,-87.703031512,41.939362537,HOMICIDE,2018
8,-87.667909071,41.899699629,HOMICIDE,2018
9,-87.710824195,41.698001982,HOMICIDE,2018
10,-87.73353203,41.793114392,HOMICIDE,2018
11,-87.706149985,41.972565366,HOMICIDE,2018
12,-87.770058701,41.9768374,HOMICIDE,2018
13,-87.535797871,41.715809734,HOMICIDE,2018
14,-87.794392413,41.935538504,HOMICIDE,2018
15,-87.631310613,41.884476226,HOMICIDE,2018
16,-87.655164396,41.982818711,HOMICIDE,2018
17,-87.661536457,41.865655856,HOMICIDE,2018
18,-87.687729271,41.927452663,HOMICIDE,2018
19,-87.541344349,41.701992038,HOMICIDE,2018
20,-87.804967456,41.923806678,HOMICIDE,2018
21,-87.678280698,41.851666314,HOMICIDE,2018
22,-87.527258234,41.651431329,HOMICIDE,2018
23,-87.734193722,41.751972552,HOMICIDE,2018
24,-87.689725637,41.965731951,HOMICIDE,2018
25,-87.681718565,41.946823083,HOMICIDE,2018
26,-87.64092074,41.929726567,HOMICIDE,2018
27,-87.739806834,41.899097591,ARSON,2018
28,-87.607132694,41.83249794,ARSON,2018
29,-87.648086699,41.766381851,ARSON,2018
30,-87.679869253,41.992187981,ARSON,2018
31,-87.817025844,41.95135319,ARSON,2018
32,-87.670122516,41.858650282,ARSON,2018
33,-87.740064017,41.740902267,ARSON,2018
34,-87.604322622,41.807210904,ARSON,2018
35,-87.623945706,41.858412765,ARSON,2018
36,-87.624550742,41.887384761,ARSON,2018
37,-87.764273249,41.780710146,ARSON,2018
38,-87.637391503,41.939987813,ARSON,2018
39,-87.648960567,41.899549844,ARSON,2018
40,-87.695448288,41.968557492,ARSON,2018
41,-87.547164672,41.649832041,ARSON,2018
42,-87.729667673,41.983393828,ARSON,2018
43,-87.540037144,41.678442193,ARSON,2018
44,-87.714237172,41.754067689,ARSON,2018
45,-87.580434208,41.730968577,ARSON,2018
46,-87.643264855,41.841727377,ARSON,2018
47,-87.59908081,41.653789719,ARSON,2018
48,-87.817493997,41.999957963,ARSON,2018
49,-87.698243524,42.018451449,ARSON,2018
50,-87.714281424,41.97021381,ARSON,2018
51,-87.65145894,41.918134916,ARSON,2018
52,-87.690895571,41.844747935,NARCOTICS,2018
53,-87.900983721,41.976762981,NARCOTICS,2018
54,-87.542304415,41.653215403,NARCOTICS,2018
55,-87.702546548,41.705717816,NARCOTICS,2018
56,-87.907472601,41.953900467,NARCOTICS,2018
57,-87.806584451,42.016178736,NARCOTICS,2018
58,-87.927364891,42.006074109,NARCOTICS,2018
59,-87.836684841,41.965720818,NARCOTICS,2018
60,-87.7618988,41.999368114,NARCOTICS,2018
61,-87.663879084,41.862102007,THEFT,2018
62,-87.903496004,41.977790517,THEFT,2018
63,-87.559363557,41.683456137,THEFT,2018
64,-87.919273996,41.996997582,THEFT,2018
65,-87.934272688,42.008161968,THEFT,2018
66,-87.6691979,41.83412222,BATTERY,2018
67,-87.899229512,41.977299715,BATTERY,2018
68,-87.54472364,41.654672808,BATTERY,2018
69,-87.915105451,41.953783081,BATTERY,2018
70,-87.881180451,41.962076499,BATTERY,2018
71,-87.576314918,41.673645535,BATTERY,2018
72,-87.914869723,41.994300526,BATTERY,2018
73,-87.676635117,41.848196405,ROBBERY,2018
74,-87.545912193,41.654730355,ROBBERY,2018
75,-87.814408627,41.978511843,ROBBERY,2018
76,-87.744379493,41.99459797,ROBBERY,2018
77,-87.795370509,41.797097969,ROBBERY,2018
78,-87.903898835,41.980783214,ROBBERY,2018
79,-87.818425746,42.001663548,ROBBERY,2018
80,-87.667977868,41.831458708,ASSAULT,2018
81,-87.545321278,41.653675221,ASSAULT,2018
82,-87.901782909,41.977139201,ASSAULT,2018
83,-87.881937669,41.994913946,ASSAULT,2018
84,-87.914585337,41.960789926,ASSAULT,2018
85,-87.573876784,41.673676103,ASSAULT,2018
86,-87.675675404,41.845861036,MOTOR VEHICLE THEFT,2018
87,-87.548366075,41.65816659,MOTOR VEHICLE THEFT,2018
88,-87.925508862,41.989621528,MOTOR VEHICLE THEFT,2018
