,Longitude,Latitude,Crime_type,Year
0,-87.662195751,41.795549141,HOMICIDE,2010
1,-87.562161311,41.712809024,HOMICIDE,2010
2,-87.652424035,41.947276021,HOMICIDE,2010
3,-87.73619249,41.995988144,HOMICIDE,2010
4,-87.65535722,41.963599469,HOMICIDE,2010
5,-87.763106027,41.865623291,HOMICIDE,2010
6,-87.63730367,41.900056069,HOMICIDE,2010
7,-87.801401557,41.923548722,HOMICIDE,2010
8,-87.66597525200001,41.996432894,HOMICIDE,2010
9,-87.579836586,41.791160785,HOMICIDE,2010
10,-87.70615754399999,41.972919409,HOMICIDE,2010
11,-87.670249052,41.893294393000005,HOMICIDE,2010
12,-87.73016814399999,41.781499397,HOMICIDE,2010
13,-87.654909481,41.881659771,HOMICIDE,2010
14,-87.705653271,41.956484339,HOMICIDE,2010
15,-87.633093989,41.850960625,HOMICIDE,2010
16,-87.730331611,41.734679635999996,HOMICIDE,2010
17,-87.69644390100001,41.942800364,HOMICIDE,2010
18,-87.670963396,42.017740199,HOMICIDE,2010
19,-87.627850543,41.882539541999996,HOMICIDE,2010
20,-87.71041506600001,41.992259008000005,HOMICIDE,2010
21,-87.815582076,41.945781408,HOMICIDE,2010
22,-87.832365167,41.958106062,HOMICIDE,2010
23,-87.767612828,41.953173021,HOMICIDE,2010
24,-87.57532043200001,41.669182176,HOMICIDE,2010
25,-87.79018091299999,41.787575548,HOMICIDE,2010
26,-87.643011174,41.764548462,ARSON,2010
27,-87.720776732,41.906330258000004,ARSON,2010
28,-87.647307571,41.879990018,ARSON,2010
29,-87.79548564,41.778061324,ARSON,2010
30,-87.78308715700001,41.972734879,ARSON,2010
31,-87.677511636,41.994306774,ARSON,2010
32,-87.75468661299999,41.79690299,ARSON,2010
33,-87.650877274,41.705024656,ARSON,2010
34,-87.646126978,41.95721645,ARSON,2010
35,-87.607560735,41.656258604,ARSON,2010
36,-87.684266489,41.711403808,ARSON,2010
37,-87.550352512,41.65368765,ARSON,2010
38,-87.59598345299999,41.721587808,ARSON,2010
39,-87.706080808,41.750881217,ARSON,2010
40,-87.63899338,41.662152796,ARSON,2010
41,-87.627758535,41.881556538000005,ARSON,2010
42,-87.763288796,41.778021341,ARSON,2010
43,-87.623426629,41.900017769,ARSON,2010
44,-87.760468126,41.997678791999995,ARSON,2010
45,-87.680301045,41.834907625,NARCOTICS,2010
46,-87.90747260100001,41.953900467,NARCOTICS,2010
47,-87.54714988399999,41.654659241,NARCOTICS,2010
48,-87.900983721,41.976762981,NARCOTICS,2010
49,-91.686565684,36.619446395,NARCOTICS,2010
50,-87.924511153,41.98918165,NARCOTICS,2010
51,-87.576466826,41.685985059000004,NARCOTICS,2010
52,-87.900485878,42.005739901,NARCOTICS,2010
53,-87.667425669,41.859592422,THEFT,2010
54,-87.90063544799999,41.977143114,THEFT,2010
55,-91.686565684,36.619446395,THEFT,2010
56,-87.670414241,41.831107806999995,BATTERY,2010
57,-87.897496889,41.97682389,BATTERY,2010
58,-91.686565684,36.619446395,BATTERY,2010
59,-87.92567250200001,42.006633416,BATTERY,2010
60,-87.66952259700001,41.835369994000004,ROBBERY,2010
61,-87.547151545,41.653018135,ROBBERY,2010
62,-87.906463155,41.979006297,ROBBERY,2010
63,-87.810744166,41.999373105,ROBBERY,2010
64,-87.836618285,41.976181463,ROBBERY,2010
65,-87.66793388100001,41.829682911,ASSAULT,2010
66,-87.900983721,41.976762981,ASSAULT,2010
67,-87.544723204,41.654708481,ASSAULT,2010
68,-87.780978893,42.012005211,ASSAULT,2010
69,-87.910606825,41.952487798,ASSAULT,2010
70,-87.576337965,41.684172952,ASSAULT,2010
71,-91.686565684,36.619446395,ASSAULT,2010
72,-87.925508862,41.989621528,ASSAULT,2010
73,-87.6781001,41.845984664,MOTOR VEHICLE THEFT,2010
74,-87.549560393,41.655037957,MOTOR VEHICLE THEFT,2010
75,-87.884969461,41.982255833,MOTOR VEHICLE THEFT,2010
76,-91.686565684,36.619446395,MOTOR VEHICLE THEFT,2010
77,-87.879953326,41.965057367,MOTOR VEHICLE THEFT,2010
78,-87.906463155,41.979006297,MOTOR VEHICLE THEFT,2010
79,-87.638711569,41.772022709,HOMICIDE,2011
80,-87.729099546,41.878827643,HOMICIDE,2011
81,-87.62796351,41.694968292,HOMICIDE,2011
82,-87.64187461899999,41.895495321999995,HOMICIDE,2011
83,-87.71339571700001,41.9538508,HOMICIDE,2011
84,-87.672457652,42.015235142,HOMICIDE,2011
85,-87.66100279700001,41.964499839,HOMICIDE,2011
86,-87.66564152299999,41.895581088,HOMICIDE,2011
87,-87.609072738,41.659135983,HOMICIDE,2011
88,-87.64725810899999,41.837566298,HOMICIDE,2011
89,-87.755772499,41.969754969,HOMICIDE,2011
90,-87.772279273,41.977339486999995,HOMICIDE,2011
91,-87.65716114700001,41.928947949,HOMICIDE,2011
92,-87.65249338299999,41.864688766,HOMICIDE,2011
93,-87.638990399,41.662089658,HOMICIDE,2011
94,-87.709657259,41.990377864,HOMICIDE,2011
95,-87.551523275,41.655517864000004,HOMICIDE,2011
96,-87.744621475,41.949160645,HOMICIDE,2011
97,-87.770013728,41.953140919,HOMICIDE,2011
98,-87.579836586,41.791160785,HOMICIDE,2011
99,-87.62610508700001,41.8789805,HOMICIDE,2011
100,-87.691977431,41.979514963,HOMICIDE,2011
101,-87.562805495,41.684623652,HOMICIDE,2011
102,-87.658153681,41.988127139,HOMICIDE,2011
103,-87.64575057100001,41.769921758,ARSON,2011
104,-87.54134479700001,41.700463454,ARSON,2011
105,-87.72505468600001,41.901874404000004,ARSON,2011
106,-87.543517611,41.649156628,ARSON,2011
107,-87.713433306,41.740484504,ARSON,2011
108,-87.63958562100001,41.878931004,ARSON,2011
109,-87.562183249,41.714650606999996,ARSON,2011
110,-87.78443587,41.776727474,ARSON,2011
111,-87.688717592,41.999696723,ARSON,2011
112,-87.771630713,41.982926258,ARSON,2011
113,-87.709613768,41.697836248,ARSON,2011
114,-87.65560801,41.969078380999996,ARSON,2011
115,-87.742950246,41.97211288,ARSON,2011
116,-87.596150779,41.728740563,ARSON,2011
117,-87.734053425,41.788712525,ARSON,2011
118,-87.818732095,42.010215829,ARSON,2011
119,-87.775771839,41.794172409,ARSON,2011
120,-87.635442641,41.906683070999996,ARSON,2011
121,-87.680899675,41.683606608000005,ARSON,2011
122,-87.80938704399999,41.944131469,ARSON,2011
123,-87.843985692,41.974111039,ARSON,2011
124,-87.680298436,41.834803328,NARCOTICS,2011
125,-87.90747260100001,41.953900467,NARCOTICS,2011
126,-87.89933523100001,41.977437325,NARCOTICS,2011
127,-87.545913096,41.654656263,NARCOTICS,2011
128,-91.686565684,36.619446395,NARCOTICS,2011
129,-87.84228067299999,41.979202498,NARCOTICS,2011
130,-87.785596933,42.011999898,NARCOTICS,2011
131,-87.66608605200001,41.855682316,THEFT,2011
132,-87.90178290899999,41.977139201,THEFT,2011
133,-91.686565684,36.619446395,THEFT,2011
134,-87.667983274,41.831645349,BATTERY,2011
135,-87.89801279,41.977212781,BATTERY,2011
136,-91.686565684,36.619446395,BATTERY,2011
137,-87.90707318700001,42.008849028,BATTERY,2011
138,-87.66793581700001,41.829850323,ROBBERY,2011
139,-87.824298688,41.977052297,ROBBERY,2011
140,-87.54714759299999,41.654546707,ROBBERY,2011
141,-87.714178443,41.70600611,ROBBERY,2011
142,-87.908269244,41.951856229,ROBBERY,2011
143,-87.906473187,42.008885217,ROBBERY,2011
144,-91.686565684,36.619446395,ROBBERY,2011
145,-87.66789294,41.827967505,ASSAULT,2011
146,-87.89657613,41.977020718,ASSAULT,2011
147,-87.92788174100001,41.992470185,ASSAULT,2011
148,-87.89339880799999,41.950804059,ASSAULT,2011
149,-87.676459544,41.836655772,MOTOR VEHICLE THEFT,2011
150,-87.54591125700001,41.65480719,MOTOR VEHICLE THEFT,2011
151,-87.776184501,42.010714224000004,MOTOR VEHICLE THEFT,2011
152,-87.883611316,41.980826277,MOTOR VEHICLE THEFT,2011
153,-87.909078994,41.960023282,MOTOR VEHICLE THEFT,2011
154,-87.906463155,41.979006297,MOTOR VEHICLE THEFT,2011
155,-87.88565997200001,41.995515781,MOTOR VEHICLE THEFT,2011
156,-91.686565684,36.619446395,MOTOR VEHICLE THEFT,2011
157,-87.725662001,41.880434101,HOMICIDE,2012
158,-87.727949036,41.93999607,HOMICIDE,2012
159,-87.632279919,41.767795848,HOMICIDE,2012
160,-87.632577234,41.687866743,HOMICIDE,2012
161,-87.691064585,41.996422338,HOMICIDE,2012
162,-87.77422928899999,41.868230139,HOMICIDE,2012
163,-87.659854095,41.97581294,HOMICIDE,2012
164,-87.792646187,41.979522813,HOMICIDE,2012
165,-87.705259739,41.968479865999996,HOMICIDE,2012
166,-87.841541839,41.976282241999996,HOMICIDE,2012
167,-87.627167159,41.856218005,HOMICIDE,2012
168,-87.748132093,41.810714710999996,HOMICIDE,2012
169,-87.786925903,41.931469201999995,HOMICIDE,2012
170,-87.676139494,42.022547568,HOMICIDE,2012
171,-87.63636822299999,41.896565216999996,HOMICIDE,2012
172,-87.731358205,41.741271378,HOMICIDE,2012
173,-87.656960706,41.704262023000005,HOMICIDE,2012
174,-87.750935505,41.949722481,HOMICIDE,2012
175,-87.610647771,41.658679358,HOMICIDE,2012
176,-87.66886843399999,41.947446464,HOMICIDE,2012
177,-87.682317993,41.729192456999996,HOMICIDE,2012
178,-87.555631154,41.660205626,HOMICIDE,2012
179,-87.79444490899999,41.949383354,HOMICIDE,2012
180,-87.646666855,41.948707141999996,HOMICIDE,2012
181,-87.663445006,41.91245631,HOMICIDE,2012
182,-87.72932294399999,41.77857777,HOMICIDE,2012
183,-87.680393375,42.005689634,ARSON,2012
184,-87.644126664,41.753819454,ARSON,2012
185,-87.729908278,41.899806157,ARSON,2012
186,-87.654668067,41.958897316,ARSON,2012
187,-87.725230544,41.739452563,ARSON,2012
188,-87.72639172299999,41.992564128000005,ARSON,2012
189,-87.689860849,41.827873131,ARSON,2012
190,-87.541344595,41.700479919,ARSON,2012
191,-87.809514637,41.947853216,ARSON,2012
192,-87.79103451200001,41.778528885,ARSON,2012
193,-87.72730876,41.971894166999995,ARSON,2012
194,-87.602332158,41.656527347,ARSON,2012
195,-87.801401557,41.923548722,ARSON,2012
196,-87.762274729,41.791902442,ARSON,2012
197,-87.798415366,41.991981076,ARSON,2012
198,-87.637535631,41.908125516999995,ARSON,2012
199,-87.68755333700001,41.712706671,ARSON,2012
200,-87.677357073,41.95417469,ARSON,2012
201,-87.68635180700001,41.97864916,ARSON,2012
202,-87.83067076,41.942602042,ARSON,2012
203,-87.635306049,41.837565635,ARSON,2012
204,-87.640815604,41.852750046,ARSON,2012
205,-87.66177779,41.733322448,ARSON,2012
206,-87.767180743,41.97997359,ARSON,2012
207,-87.680301045,41.834907625,NARCOTICS,2012
208,-87.900983721,41.976762981,NARCOTICS,2012
209,-87.90747260100001,41.953900467,NARCOTICS,2012
210,-87.54591883200001,41.65268312,NARCOTICS,2012
211,-91.686565684,36.619446395,NARCOTICS,2012
212,-87.88429422700001,41.957431781,NARCOTICS,2012
213,-87.66763971399999,41.855943803,THEFT,2012
214,-87.903638571,41.978466127,THEFT,2012
215,-91.686565684,36.619446395,THEFT,2012
216,-87.670454769,41.832869861,BATTERY,2012
217,-87.89984561700001,41.977557255,BATTERY,2012
218,-87.914585337,41.960789926,BATTERY,2012
219,-87.925508862,41.989621528,BATTERY,2012
220,-91.686565684,36.619446395,BATTERY,2012
221,-87.88429057,41.957429023,BATTERY,2012
222,-87.66461560299999,41.830514363,ROBBERY,2012
223,-87.547153814,41.652831535,ROBBERY,2012
224,-87.90178290899999,41.977139201,ROBBERY,2012
225,-87.83911785,41.975862946,ROBBERY,2012
226,-91.686565684,36.619446395,ROBBERY,2012
227,-87.66666673799999,41.827683224,ASSAULT,2012
228,-87.900983721,41.976762981,ASSAULT,2012
229,-91.686565684,36.619446395,ASSAULT,2012
230,-87.89339880799999,41.950804059,ASSAULT,2012
231,-87.925508862,41.989621528,ASSAULT,2012
232,-87.90707318700001,42.008849028,ASSAULT,2012
233,-87.915105451,41.953783081,ASSAULT,2012
234,-87.680638782,41.848254902,MOTOR VEHICLE THEFT,2012
235,-87.906463155,41.979006297,MOTOR VEHICLE THEFT,2012
236,-87.54836974,41.656358094,MOTOR VEHICLE THEFT,2012
237,-87.882404127,41.983030629,MOTOR VEHICLE THEFT,2012
238,-91.686565684,36.619446395,MOTOR VEHICLE THEFT,2012
239,-87.882620302,41.960718285,MOTOR VEHICLE THEFT,2012
240,-87.925508862,41.989621528,MOTOR VEHICLE THEFT,2012
241,-87.634373327,41.753582154,HOMICIDE,2013
242,-87.72317915100001,41.879328725,HOMICIDE,2013
243,-87.61911376299999,41.816598679,HOMICIDE,2013
244,-87.565262394,41.713515873,HOMICIDE,2013
245,-87.660360074,41.993071409,HOMICIDE,2013
246,-87.781943859,41.969279924,HOMICIDE,2013
247,-87.68166625299999,42.015438722,HOMICIDE,2013
248,-87.70487590299999,41.970867968,HOMICIDE,2013
249,-87.68160593299999,41.884218338000004,HOMICIDE,2013
250,-87.734744814,41.740778629,HOMICIDE,2013
251,-87.73633384899999,41.783219345,HOMICIDE,2013
252,-87.78538055799999,41.789786609000004,HOMICIDE,2013
253,-87.605865452,41.65732367,HOMICIDE,2013
254,-87.650600669,41.90041032,HOMICIDE,2013
255,-87.76706709,41.936743429,HOMICIDE,2013
256,-87.76698215299999,41.952571673,HOMICIDE,2013
257,-87.655139299,41.965425822,HOMICIDE,2013
258,-87.73314191700001,41.799553201,HOMICIDE,2013
259,-87.621759581,41.861239542,HOMICIDE,2013
260,-87.790510641,41.94558603,HOMICIDE,2013
261,-87.620196651,41.889561428,HOMICIDE,2013
262,-87.537457711,41.652781271,HOMICIDE,2013
263,-87.71216765,41.95386886,HOMICIDE,2013
264,-87.73284591,41.953591941,HOMICIDE,2013
265,-87.72201128399999,41.752432543000005,HOMICIDE,2013
266,-87.542565805,41.696445942,HOMICIDE,2013
267,-87.73920748299999,41.969256062,HOMICIDE,2013
268,-87.72626687200001,41.901488393,ARSON,2013
269,-87.652986003,41.781449701999996,ARSON,2013
270,-87.538901743,41.7109244,ARSON,2013
271,-87.626539444,41.695277884,ARSON,2013
272,-87.56573340700001,41.704095028000005,ARSON,2013
273,-87.664091031,42.011594532,ARSON,2013
274,-87.764848364,41.79612495,ARSON,2013
275,-87.55636198399999,41.741818476999995,ARSON,2013
276,-87.720980429,41.756398067,ARSON,2013
277,-87.663920819,41.900672606,ARSON,2013
278,-87.622858279,41.855505367,ARSON,2013
279,-87.763252135,41.778021159,ARSON,2013
280,-87.59706196399999,41.717598999,ARSON,2013
281,-87.602124983,41.653814614,ARSON,2013
282,-87.63895589,41.661214003000005,ARSON,2013
283,-87.674516546,41.980102135,ARSON,2013
284,-87.652041305,41.951804444000004,ARSON,2013
285,-87.621674516,41.827185501,ARSON,2013
286,-87.777615385,41.980323694,ARSON,2013
287,-87.781159511,41.964723509,ARSON,2013
288,-87.65193931,41.838724802,ARSON,2013
289,-87.679114364,41.683848938000004,ARSON,2013
290,-87.585391014,41.794407891,ARSON,2013
291,-87.534073605,41.690901289,ARSON,2013
292,-87.758246066,41.96498423,ARSON,2013
293,-87.810860027,41.951006967,ARSON,2013
